#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5048 382.542 101253 73052 90861 9312 57400 15049
5040 369.774 93045 83280 81428 10948 63354 19059
5048 382.542 87305 66507 76292 8380 51062 14971
5040 369.774 115624 87144 106756 8352 67705 18548
5048 382.542 101299 76696 89267 9824 60108 15905
5040 369.774 127476 93408 114985 13693 71810 20921
5048 382.542 100165 73254 89879 9198 58357 14678
5040 369.774 106617 82264 95287 9507 64537 16996
5048 382.542 100891 77770 90567 6978 62427 14799
5040 369.774 128269 87261 115396 8815 71698 15297
5048 382.542 110397 77528 100895 7170 64371 12661
5040 369.774 92221 76752 79549 11474 57832 18528
5048 382.542 96507 66352 84876 8985 50711 15197
5040 369.774 120535 88264 109325 9830 69681 18152
5048 382.542 98487 83062 85480 11298 64797 17493
5040 369.774 113674 82922 99844 11906 66310 15826
5048 382.542 110550 79877 95496 9218 62560 16216
5040 369.774 105070 76885 96803 8984 61777 14456
5048 382.542 83866 67002 76267 7341 54939 11359
5040 369.774 106394 74512 100490 5660 59578 14538
5048 382.542 104369 71799 96652 9231 54218 16672
5048 382.542 80958 66051 72382 7682 48837 16714
5040 369.774 90221 76308 78065 9841 57026 18679
5040 369.774 120928 84246 111570 13047 68274 15064
5048 382.542 103245 78901 89297 12392 62721 15623
5040 369.774 98301 83693 85906 10318 66451 16960
5048 382.542 101085 75946 88460 11115 60247 15251
5040 369.774 114680 95143 99129 12332 74453 19903
5048 382.542 98012 78810 85039 9697 62771 15509
#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 369.774 109737 83861 100002 6460 68339 14930
5048 382.542 95974 74970 89381 5778 63729 10913
5040 369.774 93595 87039 83663 11394 64668 21837
5048 382.542 88178 73725 75993 11386 54969 17911
5040 369.774 114782 78661 104541 6904 64618 13170
5048 382.542 104758 78741 88864 10573 60849 17329
5040 369.774 107816 78431 95577 8704 61265 16496
5048 382.542 100681 72741 89618 9263 56487 16089
5040 369.774 102065 75318 99755 4458 61604 13003
5048 382.542 85684 65530 78711 6464 52557 12445
5040 369.774 104921 80872 96480 8413 70082 10284
5048 382.542 103114 79044 94137 8596 66973 11162
5040 369.774 120542 84767 110997 10163 67392 17293
