#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 2381 239472 2258 118 231018 34439
5048 242.745 1520 145631 1335 71 124750 20402
5040 199.383 2358 226889 2242 65 219060 25000
5048 242.745 1598 147175 1526 50 132243 14308
5040 199.383 2195 220835 2027 92 203673 26129
5048 242.745 1196 126637 1087 73 107907 18231
5040 199.383 1744 196301 1625 92 170486 27349
5048 242.745 1084 113433 976 48 94924 17995
5040 199.383 2742 242124 2591 95 243024 24248
5048 242.745 1267 150551 1196 40 130574 19360
5040 199.383 1488 173736 1331 82 149821 23854
5048 242.745 818 113981 722 40 94303 19483
5040 199.383 1524 154629 1415 86 131880 22083
5048 242.745 1021 102035 884 92 82098 19558
5040 199.383 1905 211388 1794 59 193438 21609
5048 242.745 1109 118118 995 57 100139 17341
5040 199.383 1983 201161 1905 52 182729 23298
5048 242.745 1264 129538 1144 51 113304 15712
5040 199.383 2290 225653 2144 104 211190 29793
5048 242.745 1485 134997 1281 69 112511 22339
5040 199.383 2300 226004 2139 89 206915 28858
5048 242.745 1303 128790 1156 41 109782 18695
5040 199.383 2469 231575 2306 108 221317 29762
5048 242.745 1471 142378 1366 68 122421 19585
5040 199.383 1455 149434 1349 62 131187 17887
5048 242.745 836 86165 701 12 76859 8914
5040 199.383 1688 182021 1587 68 157532 24342
5048 242.745 1078 106731 981 34 91642 14794
5040 199.383 3228 263541 3023 99 285858 28467
5048 242.745 1738 165600 1576 71 145219 20118
5040 199.383 2945 262784 2812 64 284639 24553
5048 242.745 1667 164317 1527 63 143402 20292
5040 199.383 1960 213087 1890 47 194566 26616
5048 242.745 1292 132498 1193 57 113757 18580
5040 199.383 1992 211323 1765 121 190949 26275
5048 242.745 1185 118730 1055 38 102582 15778
5040 199.383 2172 214910 2046 71 204059 20958
5048 242.745 1299 119811 1210 35 105049 14495
5040 199.383 1879 181783 1744 76 160834 21148
5048 242.745 995 105071 935 41 89015 15902
5040 199.383 1586 171015 1498 65 148737 22334
5048 242.745 965 90028 882 43 73627 15902
5040 199.383 1592 174552 1492 69 148162 26082
5048 242.745 1013 105024 876 40 86845 17425
5040 199.383 6784 376144 6415 276 622411 58707
5048 242.745 2092 198383 1940 92 174425 23320
5040 199.383 1263 143635 1173 65 122314 20826
5048 242.745 739 84012 663 44 67816 15758
5040 199.383 2213 208387 2104 74 185640 26816
5048 242.745 1289 130524 1089 77 110272 20234
5040 199.383 2183 220635 2051 85 201846 29496
5048 242.745 1145 121325 1032 38 102249 18702
5040 199.383 2292 226055 2159 103 209701 28214
5048 242.745 1207 124395 1073 50 105139 18651
5040 199.383 1694 185592 1536 93 161547 24191
5048 242.745 968 118453 871 73 100005 17937
5040 199.383 2561 241352 2431 60 240435 22646
5048 242.745 1513 137934 1413 35 124861 12843
5040 199.383 1267 146797 1169 82 125371 21355
5048 242.745 740 88776 679 39 75999 12398
5040 199.383 1810 175098 1594 107 148269 26465
5048 242.745 962 106842 865 50 88329 18072
5040 199.383 1822 180005 1700 55 163936 16905
5048 242.745 1092 115281 955 62 100111 15125
5040 199.383 1887 181487 1734 69 158347 23189
5048 242.745 888 109882 834 36 96455 13308
5040 199.383 2481 221692 2329 75 207016 24293
5048 242.745 1254 141938 1180 44 124739 16871
5040 199.383 1865 192440 1701 64 164402 29016
5048 242.745 892 100560 780 61 82064 17786
5040 199.383 1404 157635 1310 84 137045 20602
5048 242.745 838 95366 808 61 76777 17837
5040 199.383 1889 200797 1776 43 188742 13197
5048 242.745 1013 107978 950 50 97424 10326
5040 199.383 1766 181249 1611 113 158449 23095
5048 242.745 857 101953 763 36 83189 18414
5040 199.383 2437 234023 2334 67 228381 23363
5048 242.745 1328 138158 1227 61 122717 15169
5040 199.383 2534 235740 2369 89 232032 25382
5048 242.745 1377 130204 1293 48 111789 18159
5040 199.383 1425 148557 1328 68 126954 21383
5048 242.745 904 101143 787 47 84604 16082
5040 199.383 1514 162508 1374 58 139308 22384
5048 242.745 1033 101479 854 54 84093 17243
5040 199.383 1313 150272 1241 56 128205 21600
5048 242.745 863 84120 789 53 68643 15110
5040 199.383 2526 227668 2347 107 216080 26240
5048 242.745 1490 140151 1362 51 123918 15819
5040 199.383 2629 232989 2482 96 223432 28151
5048 242.745 1306 139358 1141 60 118317 20560
5040 199.383 1583 174512 1399 85 146700 27507
5048 242.745 999 97961 880 40 82397 15142
5040 199.383 1246 139599 1175 64 115293 23870
5048 242.745 616 70804 545 20 56958 13482
5040 199.383 2559 224970 2452 89 216110 21278
5048 242.745 1388 135168 1301 40 116044 18426
5040 199.383 1293 150142 1151 65 125781 23892
5048 242.745 928 101291 819 54 83440 17609
5040 199.383 1397 151583 1287 94 130319 20672
5048 242.745 765 85006 703 32 67576 17147
5040 199.383 1393 155187 1241 64 132235 22396
5048 242.745 918 98973 788 51 83257 15156
5040 199.383 6514 349007 6267 157 559561 49365
5048 242.745 1943 186306 1812 50 167894 18050
5040 199.383 1746 194889 1693 75 170123 26036
5048 242.745 1124 124787 990 56 106351 17913
5040 199.383 1733 193873 1566 85 170654 24378
5048 242.745 966 110871 828 67 92077 18478
5040 199.383 3134 264758 2957 94 290142 18898
5048 242.745 1819 157940 1714 18 146814 10851
5040 199.383 1600 161650 1471 73 141086 20100
5048 242.745 1126 102966 1005 44 87054 15658
5040 199.383 1920 191080 1784 86 164946 26694
5048 242.745 1077 105422 975 49 83593 21414
5040 199.383 1819 181085 1636 83 155390 26540
5048 242.745 1094 107393 1013 55 88033 19023
5040 199.383 2318 230221 2134 67 219032 28041
5048 242.745 1314 143353 1232 55 126738 16289
5040 199.383 2010 214012 1920 70 196483 22174
5048 242.745 1215 125296 1128 48 108002 17232
5040 199.383 1694 174959 1546 80 152735 21920
5048 242.745 1035 109908 941 58 94052 15528
5040 199.383 1364 151773 1201 105 124446 27261
